"2024 College Graduate Career Jobs — Hiring & Layoff Data [CPI-Adjusted to 2025 USD, factor=1.0261]",,,,,
#,Job Title,Industry / Category,Avg. Salary (2025 USD),# Hired in 2024,# Fired / Laid Off in 2024
451.0,Ichthyologist,Other,66699.08,1100.0,182.0
452.0,Primatologist,Other,69777.49,900.0,129.0
453.0,Ethologist,Other,66699.08,1200.0,127.0
454.0,Behavioral Economist,Other,104666.24,2200.0,167.0
455.0,Organizational Psychologist,Other,97483.26,3500.0,261.0
456.0,Rehabilitation Counselor,Other,53359.26,5800.0,749.0
457.0,Mental Health Counselor,Other,56437.68,8200.0,1207.0
458.0,Marriage & Family Therapist,Other,59516.1,6800.0,768.0
459.0,Addiction Counselor,Other,49254.7,5800.0,740.0
460.0,Career Counselor,Other,53359.26,4800.0,376.0
461.0,Life Coach,Other,63620.66,6500.0,330.0
462.0,Executive Coach,Other,128267.45,3800.0,304.0
463.0,Nutritionist (Private Practice),Other,63620.66,4500.0,351.0
464.0,Acupuncturist,Other,73882.05,2800.0,237.0
465.0,Naturopathic Doctor,Other,84143.45,2500.0,289.0
466.0,Homeopathic Practitioner,Other,66699.08,1500.0,89.0
467.0,Massage Therapist,Other,49254.7,7800.0,564.0
468.0,Esthetician,Other,43097.86,6200.0,850.0
469.0,Cosmetologist,Other,38993.31,8500.0,1180.0
470.0,Nail Technician,Other,35914.89,5800.0,284.0
471.0,Hair Stylist,Other,38993.31,9800.0,951.0
472.0,Tattoo Artist,Other,49254.7,3800.0,440.0
473.0,Funeral Director,Other,63620.66,3200.0,314.0
474.0,Embalmer,Other,53359.26,2500.0,172.0
475.0,Chaplain,Other,53359.26,3200.0,316.0
476.0,Theologian,Other,63620.66,1500.0,250.0
477.0,Religious Leader (Minister/Rabbi/Imam),Other,56437.68,3800.0,462.0
478.0,Philosopher (Independent),Other,46176.28,1200.0,164.0
479.0,Poet (Published),Other,38993.31,1800.0,287.0
480.0,Author / Novelist,Other,53359.26,3200.0,470.0
481.0,Technical Author,Other,80038.89,4500.0,419.0
482.0,Grant Researcher,Other,63620.66,3500.0,142.0
483.0,Professional Blogger,Other,49254.7,4500.0,401.0
484.0,Online Course Creator,Other,66699.08,5200.0,756.0
485.0,Academic Tutor,Other,43097.86,7800.0,1243.0
486.0,Test Prep Instructor,Other,53359.26,5800.0,1006.0
487.0,Piano / Music Teacher,Other,43097.86,5800.0,572.0
488.0,Art Teacher,Other,49254.7,4500.0,650.0
489.0,Dance Instructor,Other,43097.86,4800.0,559.0
490.0,Drama Teacher,Other,49254.7,3500.0,435.0
491.0,Culinary Arts Teacher,Other,53359.26,2800.0,198.0
492.0,Sommelier (Wine Educator),Other,56437.68,2200.0,155.0
493.0,Barista (Manager),Other,43097.86,5200.0,525.0
494.0,Brewery Manager,Other,66699.08,3200.0,141.0
495.0,Winemaker,Other,73882.05,2200.0,191.0
496.0,Distiller,Other,63620.66,1800.0,243.0
497.0,Food Critic,Other,59516.1,1200.0,115.0
498.0,Restaurant Critic,Other,56437.68,1000.0,63.0
499.0,Travel Writer,Other,49254.7,1800.0,189.0
500.0,Adventure Guide,Other,46176.28,3200.0,185.0
501.0,Ski Instructor,Other,38993.31,4800.0,610.0
502.0,Scuba Diving Instructor,Other,43097.86,2800.0,122.0
503.0,Pilot (Private),Other,87221.87,2500.0,237.0
504.0,Air Traffic Controller,Other,131345.87,2200.0,261.0
505.0,Maritime Captain,Other,90300.29,1800.0,78.0
506.0,Merchant Marine Officer,Other,80038.89,1500.0,194.0
507.0,Astronaut,Other,145711.83,120.0,10.0
508.0,Space Mission Analyst,Other,118006.06,800.0,83.0
509.0,Defense Contractor Analyst,Other,107744.66,3200.0,150.0
510.0,Weapons Systems Engineer,Other,131345.87,2200.0,204.0
511.0,Drone Operator (Commercial),Other,69777.49,5200.0,362.0
512.0,Autonomous Vehicle Engineer,Other,148790.25,3800.0,325.0
513.0,Battery Technology Engineer,Other,125189.03,3500.0,513.0
514.0,Hydrogen Energy Specialist,Other,114927.64,2800.0,260.0
515.0,Nuclear Reactor Operator,Other,97483.26,1800.0,261.0
516.0,Power Plant Engineer,Other,94404.85,2800.0,438.0
517.0,Utilities Manager,Other,90300.29,3500.0,263.0
518.0,Water Treatment Specialist,Other,73882.05,4200.0,216.0
519.0,Waste Management Engineer,Other,80038.89,3800.0,162.0
520.0,Recycling Engineer,Other,73882.05,3200.0,369.0
521.0,Circular Economy Consultant,Other,87221.87,2800.0,503.0
522.0,Impact Investor,Other,148790.25,1800.0,160.0
523.0,Microfinance Specialist,Other,69777.49,2200.0,288.0
524.0,Economic Development Officer,Other,76960.47,3500.0,522.0
525.0,Community Development Banker,Other,73882.05,2800.0,367.0
526.0,Financial Inclusion Specialist,Other,66699.08,2200.0,320.0
527.0,Regulatory Affairs Specialist,Other,90300.29,4500.0,778.0
528.0,Clinical Trial Manager,Other,104666.24,3800.0,258.0
529.0,Drug Safety Officer,Other,97483.26,3200.0,137.0
530.0,Medical Affairs Manager,Other,118006.06,2800.0,171.0
531.0,Pharmaceutical Sales Rep,Other,80038.89,8500.0,490.0
532.0,Medical Device Sales,Other,90300.29,6800.0,909.0
533.0,Health Informatics Specialist,Other,90300.29,4200.0,499.0
534.0,Medical Imaging Specialist,Other,80038.89,3500.0,246.0
535.0,Orthopedic Technician,Other,59516.1,4800.0,662.0
536.0,Perfusionist,Other,121084.48,1500.0,221.0
537.0,Electrophysiology Technician,Other,73882.05,2800.0,177.0
538.0,Echocardiography Technician,Other,76960.47,3200.0,400.0
539.0,Phlebotomist (Supervisor),Other,53359.26,5800.0,839.0
540.0,Pathologist Assistant,Other,90300.29,2500.0,140.0
541.0,Cytotechnologist,Other,73882.05,2800.0,433.0
542.0,Histotechnician,Other,63620.66,2800.0,490.0
543.0,Audiologist,Other,84143.45,3800.0,209.0
544.0,Prosthetist / Orthotist,Other,90300.29,2500.0,108.0
545.0,Art Therapist,Other,53359.26,3800.0,317.0
546.0,Music Therapist,Other,53359.26,3500.0,471.0
547.0,Equine Therapist,Other,49254.7,2200.0,383.0
548.0,Horticultural Therapist,Other,49254.7,1800.0,171.0
549.0,Drama Therapist,Other,53359.26,2200.0,308.0
550.0,Aquatic Therapist,Other,56437.68,2800.0,141.0
551.0,Telehealth Coordinator,Other,63620.66,5800.0,792.0
552.0,Remote Patient Monitor,Other,56437.68,4800.0,613.0
553.0,Health Coach,Other,59516.1,6200.0,336.0
554.0,Geriatric Care Manager,Other,66699.08,4500.0,666.0
555.0,Palliative Care Specialist,Other,84143.45,2800.0,445.0
556.0,Hospice Worker,Other,56437.68,4200.0,521.0
557.0,Doula,Other,49254.7,3500.0,199.0
558.0,Midwife,Other,118006.06,2500.0,444.0
559.0,Lactation Consultant,Other,66699.08,3200.0,478.0
560.0,Genetic Engineer,Other,114927.64,2200.0,194.0
561.0,CRISPR Researcher,Other,110823.08,1800.0,179.0
562.0,Synthetic Biologist,Other,118006.06,1500.0,137.0
563.0,Bioinformatics Scientist,Other,110823.08,2800.0,310.0
564.0,Computational Chemist,Other,104666.24,2200.0,193.0
565.0,Crystallographer,Other,94404.85,1200.0,190.0
566.0,Spectroscopist,Other,90300.29,1500.0,232.0
567.0,Mass Spectrometry Analyst,Other,87221.87,1800.0,98.0
568.0,Chromatography Specialist,Other,84143.45,2200.0,383.0
569.0,Lab Manager,Other,80038.89,4500.0,580.0
570.0,Research Associate,Other,56437.68,8200.0,1279.0
571.0,Postdoctoral Researcher,Other,63620.66,5800.0,806.0
572.0,Clinical Lab Scientist,Other,73882.05,5200.0,525.0
573.0,Patent Examiner,Other,94404.85,2800.0,399.0
574.0,Technology Transfer Officer,Other,84143.45,2500.0,437.0
575.0,Research Commercialization Manager,Other,94404.85,2200.0,171.0
576.0,SBIR Grant Manager,Other,80038.89,1800.0,275.0
577.0,University Research Administrator,Other,76960.47,3500.0,403.0
578.0,Academic Department Chair,Other,121084.48,2200.0,236.0
579.0,Dean of Students,Other,97483.26,2800.0,282.0
580.0,Admissions Counselor,Other,49254.7,5800.0,825.0
581.0,Financial Aid Officer,Other,53359.26,5200.0,403.0
582.0,Registrar,Other,63620.66,3500.0,557.0
583.0,Housing Director,Other,66699.08,3200.0,500.0
584.0,Student Affairs Director,Other,84143.45,2800.0,145.0
585.0,Career Services Director,Other,80038.89,3200.0,522.0
586.0,Diversity & Inclusion Officer,Other,90300.29,4800.0,355.0
587.0,Title IX Coordinator,Other,73882.05,3500.0,367.0
588.0,Ombudsman,Other,69777.49,2500.0,313.0
589.0,Accreditation Specialist,Other,73882.05,2200.0,204.0
590.0,Institutional Research Analyst,Other,69777.49,3500.0,154.0
591.0,Assessment Coordinator,Other,63620.66,3800.0,604.0
592.0,Online Education Director,Other,90300.29,3200.0,209.0
593.0,Learning Management System Admin,Other,66699.08,4200.0,292.0
594.0,Accessibility Coordinator,Other,59516.1,3500.0,530.0
595.0,International Student Advisor,Other,53359.26,4200.0,368.0
596.0,Study Abroad Coordinator,Other,49254.7,3800.0,620.0
597.0,Alumni Relations Manager,Other,63620.66,3200.0,442.0
598.0,University Fundraiser,Other,73882.05,3800.0,298.0
599.0,API Developer,Technology,145711.83,8900.0,859.0
600.0,GraphQL Developer,Technology,141607.27,7200.0,489.0
601.0,React Developer,Technology,138528.85,11000.0,715.0
602.0,Angular Developer,Technology,135450.43,9800.0,732.0
603.0,Vue.js Developer,Technology,133398.15,8500.0,1244.0
604.0,Node.js Developer,Technology,141607.27,10200.0,766.0
605.0,Python Developer,Technology,143659.55,13500.0,1263.0
606.0,Java Developer,Technology,141607.27,12000.0,1629.0
607.0,C++ Developer,Technology,145711.83,8200.0,946.0
608.0,Rust Developer,Technology,155973.22,4800.0,822.0
609.0,Go Developer,Technology,151868.66,6800.0,737.0
610.0,Swift Developer,Technology,145711.83,7500.0,742.0
611.0,Kotlin Developer,Technology,141607.27,6800.0,855.0
612.0,PHP Developer,Technology,114927.64,9200.0,647.0
613.0,Ruby on Rails Developer,Technology,131345.87,7200.0,1197.0
614.0,Scala Developer,Technology,148790.25,4800.0,443.0
615.0,R Programmer,Technology,114927.64,5800.0,547.0
616.0,MATLAB Engineer,Technology,110823.08,4200.0,569.0
617.0,SAS Programmer,Technology,104666.24,3800.0,233.0
618.0,Tableau Developer,Technology,100561.68,5600.0,741.0
619.0,Power BI Developer,Technology,97483.26,6800.0,1081.0
620.0,Looker Developer,Technology,104666.24,4200.0,367.0
621.0,Snowflake Engineer,Technology,151868.66,5800.0,1000.0
622.0,Spark Engineer,Technology,155973.22,4800.0,547.0
623.0,Kafka Engineer,Technology,151868.66,4200.0,623.0
624.0,Kubernetes Engineer,Technology,162130.06,5800.0,612.0
625.0,Docker Specialist,Technology,145711.83,6500.0,626.0
626.0,Terraform Engineer,Technology,151868.66,4800.0,373.0
627.0,Ansible Engineer,Technology,135450.43,4200.0,172.0
628.0,Jenkins Engineer,Technology,131345.87,3800.0,260.0
629.0,GitHub Actions Specialist,Technology,131345.87,4500.0,803.0
630.0,CI/CD Engineer,Technology,141607.27,5200.0,596.0
631.0,Infrastructure Engineer,Technology,148790.25,6800.0,711.0
632.0,Storage Engineer,Technology,131345.87,4200.0,697.0
633.0,Virtualization Engineer,Technology,128267.45,3800.0,474.0
634.0,Data Warehouse Engineer,Technology,141607.27,4800.0,848.0
635.0,ETL Developer,Technology,118006.06,5600.0,504.0
636.0,Information Architect,Technology,121084.48,3800.0,266.0
637.0,Interaction Designer,Technology,104666.24,5800.0,979.0
638.0,Service Designer,Technology,110823.08,4200.0,262.0
639.0,Design System Manager,Technology,121084.48,3500.0,528.0
640.0,Accessibility Engineer,Technology,114927.64,3800.0,468.0
641.0,Localization Engineer,Technology,97483.26,3200.0,568.0
642.0,Release Manager,Technology,128267.45,4200.0,723.0
643.0,Configuration Manager,Technology,107744.66,3800.0,503.0
644.0,IT Risk Manager,Technology,121084.48,3500.0,158.0
645.0,SOC Analyst,Technology,87221.87,7200.0,311.0
646.0,Threat Intelligence Analyst,Technology,104666.24,4800.0,510.0
647.0,Incident Response Specialist,Technology,114927.64,4500.0,696.0
648.0,Digital Forensics Analyst,Technology,97483.26,3800.0,195.0
649.0,Malware Analyst,Technology,107744.66,3200.0,318.0
650.0,Bug Bounty Hunter,Technology,90300.29,2800.0,145.0
651.0,Reverse Engineer,Technology,121084.48,2500.0,208.0
652.0,Cryptographer,Technology,138528.85,1800.0,73.0
653.0,PKI Engineer,Technology,118006.06,2800.0,241.0
654.0,Identity & Access Manager,Technology,114927.64,4500.0,509.0
655.0,Zero Trust Architect,Technology,151868.66,3200.0,217.0
656.0,SIEM Engineer,Technology,110823.08,3800.0,570.0
657.0,Endpoint Security Analyst,Technology,90300.29,5200.0,248.0
658.0,Application Security Engineer,Technology,135450.43,5800.0,403.0
659.0,Augmented Reality Designer,Technology,114927.64,3500.0,266.0
660.0,Digital Twin Engineer,Technology,135450.43,2800.0,270.0
661.0,Edge Computing Specialist,Technology,141607.27,2500.0,367.0
662.0,IoT Engineer,Technology,131345.87,4800.0,429.0
663.0,5G Network Engineer,Technology,138528.85,3800.0,521.0
664.0,Satellite Communications Engineer,Technology,131345.87,2200.0,372.0
665.0,Chip Design Engineer,Technology,141607.27,3200.0,186.0
666.0,FPGA Engineer,Technology,135450.43,2500.0,402.0
667.0,Semiconductor Process Engineer,Technology,131345.87,2800.0,347.0
668.0,Photonics Engineer,Technology,125189.03,1800.0,260.0
669.0,Quantum Software Engineer,Technology,169313.04,900.0,112.0
670.0,Structured Finance Analyst,Finance,128267.45,3500.0,340.0
671.0,Derivatives Trader,Finance,200097.23,2800.0,149.0
672.0,Fixed Income Analyst,Finance,110823.08,3200.0,192.0
673.0,Commodities Trader,Finance,148790.25,2500.0,160.0
674.0,Foreign Exchange Analyst,Finance,100561.68,3800.0,246.0
675.0,ESG Investment Analyst,Finance,97483.26,4800.0,289.0
676.0,Impact Investment Manager,Finance,110823.08,3200.0,220.0
677.0,Sustainable Finance Analyst,Finance,94404.85,4200.0,497.0
678.0,Fintech Product Manager,Finance,141607.27,5800.0,857.0
679.0,Cryptocurrency Analyst,Finance,97483.26,5200.0,788.0
680.0,DeFi Analyst,Finance,107744.66,3800.0,602.0
681.0,RegTech Specialist,Finance,100561.68,3500.0,197.0
682.0,Robo-Advisor Developer,Finance,114927.64,2800.0,434.0
683.0,Payment Systems Analyst,Finance,90300.29,4800.0,316.0
684.0,Anti-Money Laundering Analyst,Finance,84143.45,5200.0,260.0
685.0,KYC Analyst,Finance,73882.05,6200.0,497.0
686.0,Financial Crime Investigator,Finance,90300.29,3800.0,463.0
687.0,Retirement Plan Advisor,Finance,87221.87,5800.0,270.0
688.0,Insurance Actuary,Finance,121084.48,3200.0,224.0
689.0,Catastrophe Modeler,Finance,114927.64,2200.0,210.0
690.0,Reinsurance Analyst,Finance,100561.68,2500.0,387.0
691.0,Pension Fund Manager,Finance,148790.25,2800.0,268.0
692.0,Endowment Manager,Finance,141607.27,1800.0,176.0
693.0,Family Office Advisor,Finance,151868.66,2200.0,202.0
694.0,Sovereign Wealth Fund Analyst,Finance,138528.85,1500.0,79.0
695.0,Telemedicine Physician,Healthcare,254482.63,3800.0,619.0
696.0,Concierge Medicine Physician,Healthcare,292449.79,2200.0,372.0
697.0,Hospital Administrator,Healthcare,131345.87,5200.0,733.0
698.0,Chief Medical Officer,Healthcare,395063.76,800.0,76.0
699.0,Chief Nursing Officer,Healthcare,200097.23,1200.0,122.0
700.0,Health IT Specialist,Healthcare,90300.29,6200.0,518.0
701.0,Medical Scribe,Healthcare,38993.31,8500.0,1118.0
702.0,Patient Care Coordinator,Healthcare,53359.26,9800.0,1288.0
703.0,Case Manager (Healthcare),Healthcare,63620.66,7800.0,651.0
704.0,Utilization Review Specialist,Healthcare,73882.05,5800.0,941.0
705.0,Prior Authorization Specialist,Healthcare,56437.68,6500.0,915.0
706.0,Clinical Documentation Specialist,Healthcare,69777.49,5200.0,367.0
707.0,Infection Prevention Specialist,Healthcare,80038.89,4800.0,735.0
708.0,Quality Improvement Specialist,Healthcare,84143.45,4500.0,604.0
709.0,Patient Safety Officer,Healthcare,90300.29,3800.0,284.0
710.0,Clinical Ethicist,Healthcare,94404.85,1800.0,146.0
711.0,Health Economist,Healthcare,104666.24,2800.0,406.0
712.0,Pharmacy Technician (Lead),Healthcare,49254.7,6800.0,348.0
713.0,Nuclear Medicine Technologist,Healthcare,84143.45,2500.0,253.0
714.0,MRI Technologist,Healthcare,76960.47,5200.0,909.0
715.0,CT Technologist,Healthcare,73882.05,5800.0,440.0
716.0,Ultrasound Technologist,Healthcare,80038.89,5500.0,607.0
717.0,Cardiovascular Technologist,Healthcare,69777.49,4200.0,701.0
718.0,Polysomnographic Technician,Healthcare,59516.1,3500.0,568.0
719.0,Dialysis Technician,Healthcare,53359.26,5200.0,781.0
720.0,Surgical Technician,Healthcare,56437.68,5800.0,664.0
721.0,Sterile Processing Technician,Healthcare,49254.7,5500.0,935.0
722.0,Dental Assistant (Lead),Healthcare,43097.86,7200.0,546.0
723.0,Orthodontist,Healthcare,271927.0,1800.0,294.0
724.0,Endodontist,Healthcare,312972.59,1200.0,116.0
725.0,Periodontist,Healthcare,302711.19,1100.0,145.0
726.0,Oral Surgeon,Healthcare,395063.76,900.0,112.0
727.0,Prosthodontist,Healthcare,282188.4,1000.0,79.0
728.0,Pediatric Dentist,Healthcare,254482.63,1500.0,202.0
729.0,Chief of Staff,Business,169313.04,3800.0,473.0
730.0,Chief People Officer,Business,251404.21,1200.0,213.0
731.0,Chief Revenue Officer,Business,302711.19,900.0,120.0
732.0,Chief Technology Officer,Business,333495.38,800.0,81.0
733.0,General Manager,Business,131345.87,5800.0,540.0
734.0,Regional Manager,Business,114927.64,6200.0,1018.0
735.0,District Manager,Business,100561.68,7200.0,636.0
736.0,Category Manager,Business,90300.29,5800.0,773.0
737.0,Channel Manager,Business,94404.85,5200.0,713.0
738.0,Partnership Manager,Business,100561.68,5500.0,962.0
739.0,Alliance Manager,Business,104666.24,4800.0,321.0
740.0,Vendor Manager,Business,90300.29,5200.0,692.0
741.0,Contract Negotiator,Business,104666.24,4500.0,288.0
742.0,Pricing Analyst,Business,84143.45,5800.0,751.0
743.0,Revenue Operations Manager,Business,110823.08,4800.0,633.0
744.0,Sales Operations Analyst,Business,80038.89,6200.0,892.0
745.0,Inside Sales Representative,Business,56437.68,14000.0,2257.0
746.0,Enterprise Account Executive,Business,148790.25,7800.0,564.0
747.0,SMB Account Executive,Business,87221.87,9800.0,1572.0
748.0,Sales Development Representative,Business,56437.68,15000.0,1325.0
749.0,Business Development Representative,Business,59516.1,12000.0,1151.0
750.0,Customer Experience Manager,Business,84143.45,6800.0,378.0
751.0,Community Manager,Business,63620.66,7800.0,892.0
752.0,User Research Manager,Business,104666.24,4500.0,180.0
753.0,Performance Marketing Manager,Marketing,97483.26,7800.0,651.0
754.0,Paid Search Specialist,Marketing,73882.05,6800.0,912.0
755.0,Paid Social Specialist,Marketing,69777.49,7200.0,1041.0
756.0,Affiliate Marketing Manager,Marketing,80038.89,5800.0,367.0
757.0,Conversion Rate Optimizer,Marketing,84143.45,5200.0,779.0
758.0,Marketing Analytics Manager,Marketing,100561.68,6500.0,664.0
759.0,CRM Manager,Marketing,90300.29,7200.0,494.0
760.0,Loyalty Program Manager,Marketing,84143.45,5800.0,839.0
761.0,Trade Marketing Manager,Marketing,80038.89,4800.0,688.0
762.0,Shopper Marketing Manager,Marketing,84143.45,4500.0,474.0
763.0,Retail Marketing Manager,Marketing,80038.89,5200.0,594.0
764.0,Field Marketing Manager,Marketing,84143.45,5800.0,735.0
765.0,Account Director (Advertising),Marketing,114927.64,4800.0,616.0
766.0,Media Planner,Marketing,66699.08,5800.0,853.0
767.0,Account Planner,Marketing,73882.05,4500.0,664.0
768.0,Brand Strategist,Marketing,94404.85,4800.0,326.0
769.0,Consumer Insights Manager,Marketing,97483.26,4200.0,180.0
770.0,Packaging Designer,Marketing,66699.08,4800.0,262.0
771.0,Retail Designer,Marketing,63620.66,4200.0,348.0
772.0,Experiential Marketing Manager,Marketing,84143.45,5200.0,630.0
773.0,Online Course Developer,Education,73882.05,4800.0,837.0
774.0,Educational Technology Specialist,Education,69777.49,5200.0,511.0
775.0,Learning Experience Designer,Education,80038.89,4800.0,440.0
776.0,Corporate Learning Manager,Education,90300.29,4500.0,531.0
777.0,Academic Coach,Education,49254.7,5800.0,1002.0
778.0,Reading Specialist,Education,56437.68,5200.0,636.0
779.0,Math Interventionist,Education,56437.68,4800.0,390.0
780.0,STEM Coordinator,Education,66699.08,4200.0,612.0
781.0,Gifted Education Teacher,Education,59516.1,4500.0,804.0
782.0,Bilingual Education Teacher,Education,56437.68,6200.0,936.0
783.0,Montessori Teacher,Education,46176.28,5800.0,555.0
784.0,Waldorf Teacher,Education,46176.28,3500.0,224.0
785.0,Online Tutor (Platform),Education,49254.7,9800.0,1024.0
786.0,Test Prep Coordinator,Education,56437.68,4500.0,260.0
787.0,Education Policy Analyst,Education,80038.89,3200.0,186.0
788.0,School Data Analyst,Education,66699.08,3800.0,389.0
789.0,Education Researcher,Education,73882.05,3500.0,556.0
790.0,Textbook Editor,Education,63620.66,3200.0,442.0
791.0,Educational Publisher,Education,73882.05,2800.0,275.0
792.0,Simulation Educator,Education,76960.47,3200.0,555.0
793.0,Budget Analyst (Government),Government,80038.89,4500.0,292.0
794.0,Legislative Analyst,Government,84143.45,3800.0,285.0
795.0,Municipal Manager,Government,94404.85,3200.0,250.0
796.0,County Administrator,Government,90300.29,2800.0,336.0
797.0,Public Works Director,Government,104666.24,2500.0,411.0
798.0,Emergency Management Director,Government,97483.26,2800.0,262.0
799.0,Homeland Security Analyst,Government,94404.85,3500.0,545.0
800.0,Diplomatic Security Agent,Government,90300.29,2200.0,376.0
801.0,DEA Agent,Government,94404.85,1800.0,192.0
802.0,ATF Agent,Government,90300.29,1500.0,247.0
803.0,Secret Service Agent,Government,97483.26,1200.0,197.0
804.0,Border Patrol Agent,Government,73882.05,5800.0,618.0
805.0,Coast Guard Officer,Government,80038.89,3200.0,203.0
806.0,National Guard Officer,Government,73882.05,4500.0,227.0
807.0,Public Defender (Federal),Government,73882.05,2800.0,205.0
808.0,Government Economist,Government,107744.66,2500.0,260.0
809.0,Diplomatic Translator,Government,69777.49,3200.0,134.0
810.0,Embassy Officer,Government,84143.45,2200.0,189.0
811.0,USAID Officer,Government,80038.89,1800.0,196.0
812.0,Peace Corps Volunteer Leader,Government,32836.47,2500.0,217.0
813.0,Agile Coach,Consulting,131345.87,5800.0,827.0
814.0,Lean Six Sigma Consultant,Consulting,114927.64,4800.0,574.0
815.0,ERP Implementation Consultant,Consulting,131345.87,5200.0,596.0
816.0,SAP Consultant,Consulting,135450.43,5800.0,746.0
817.0,Oracle Consultant,Consulting,131345.87,4800.0,583.0
818.0,Microsoft Dynamics Consultant,Consulting,121084.48,4500.0,440.0
819.0,Process Improvement Consultant,Consulting,107744.66,4800.0,303.0
820.0,Turnaround Consultant,Consulting,169313.04,2800.0,342.0
821.0,M&A Advisor,Consulting,189835.83,2200.0,102.0
822.0,Due Diligence Analyst,Consulting,114927.64,3200.0,144.0
823.0,Valuation Analyst,Consulting,104666.24,3800.0,334.0
824.0,Restructuring Advisor,Consulting,159051.64,2500.0,180.0
825.0,Supply Chain Consultant,Consulting,114927.64,4800.0,699.0
826.0,Procurement Consultant,Consulting,107744.66,4200.0,261.0
827.0,Logistics Consultant,Consulting,100561.68,4500.0,456.0
828.0,Tax Consultant,Consulting,110823.08,5800.0,796.0
829.0,Forensic Consultant,Consulting,121084.48,3200.0,315.0
830.0,Litigation Support Consultant,Consulting,104666.24,2800.0,427.0
831.0,Astrobiologist,Science,90300.29,600.0,33.0
832.0,Cosmologist,Science,97483.26,800.0,51.0
833.0,Particle Physicist,Science,104666.24,1200.0,94.0
834.0,Theoretical Physicist,Science,97483.26,1100.0,100.0
835.0,Condensed Matter Physicist,Science,100561.68,1500.0,177.0
836.0,Plasma Physicist,Science,104666.24,1200.0,81.0
837.0,Atmospheric Scientist,Science,90300.29,2500.0,295.0
838.0,Paleoclimatologist,Science,84143.45,900.0,124.0
839.0,Glaciologist,Science,80038.89,800.0,105.0
840.0,Hydrologist,Science,84143.45,3200.0,493.0
841.0,Pedologist (Soil Scientist),Science,73882.05,2200.0,113.0
842.0,Geochemist,Science,87221.87,2500.0,337.0
843.0,Geohydrologist,Science,84143.45,2800.0,396.0
844.0,Volcanologist (Research),Science,80038.89,600.0,93.0
845.0,Seismologist (Research),Science,84143.45,900.0,54.0
846.0,Remote Sensing Scientist,Science,90300.29,2800.0,145.0
847.0,GIS Specialist,Science,73882.05,5800.0,848.0
848.0,Spatial Analyst,Science,80038.89,4800.0,626.0
849.0,Bioethicist,Science,87221.87,1500.0,94.0
850.0,Science Communicator,Science,63620.66,2800.0,453.0
851.0,Controls Engineer,Engineering,100561.68,4800.0,673.0
852.0,Systems Engineer,Engineering,114927.64,5800.0,731.0
853.0,Reliability Engineer,Engineering,104666.24,4500.0,659.0
854.0,Failure Analysis Engineer,Engineering,100561.68,3800.0,477.0
855.0,Corrosion Engineer,Engineering,97483.26,2800.0,245.0
856.0,Thermal Engineer,Engineering,104666.24,3200.0,151.0
857.0,Fluid Dynamics Engineer,Engineering,107744.66,2800.0,246.0
858.0,Computational Engineer,Engineering,118006.06,3200.0,408.0
859.0,Propulsion Engineer,Engineering,131345.87,2500.0,165.0
860.0,Avionics Engineer,Engineering,125189.03,2800.0,182.0
861.0,Flight Test Engineer,Engineering,138528.85,2200.0,122.0
862.0,Spacecraft Systems Engineer,Engineering,141607.27,1800.0,197.0
863.0,Satellite Engineer,Engineering,135450.43,1500.0,262.0
864.0,Defense Systems Engineer,Engineering,131345.87,2200.0,313.0
865.0,Naval Architect,Engineering,110823.08,1500.0,62.0
866.0,Ocean Engineer,Engineering,104666.24,1800.0,166.0
867.0,Pipeline Engineer,Engineering,114927.64,2500.0,338.0
868.0,Refinery Engineer,Engineering,121084.48,2200.0,117.0
869.0,Reservoir Engineer,Engineering,131345.87,2200.0,332.0
870.0,Drilling Engineer,Engineering,141607.27,1800.0,131.0
871.0,Digital Journalist,Media,59516.1,4200.0,428.0
872.0,Data Journalist,Media,73882.05,3500.0,528.0
873.0,Investigative Reporter,Media,63620.66,3800.0,617.0
874.0,Foreign Correspondent,Media,73882.05,2200.0,112.0
875.0,Broadcast Producer,Media,69777.49,3200.0,494.0
876.0,News Producer,Media,73882.05,3800.0,617.0
877.0,Documentary Filmmaker,Media,66699.08,2800.0,440.0
878.0,Podcast Network Manager,Media,80038.89,2500.0,370.0
879.0,Music Video Director,Media,73882.05,2800.0,258.0
880.0,VFX Artist,Media,84143.45,4800.0,402.0
881.0,3D Animator,Media,80038.89,5200.0,241.0
882.0,Storyboard Artist,Media,69777.49,3800.0,362.0
883.0,Concept Artist,Media,73882.05,4500.0,369.0
884.0,Colorist (Film),Media,76960.47,3200.0,199.0
885.0,Foley Artist,Media,53359.26,2500.0,430.0
886.0,Music Supervisor,Media,80038.89,2200.0,359.0
887.0,Casting Director,Media,69777.49,2500.0,383.0
888.0,Talent Agent,Media,84143.45,3200.0,260.0
889.0,Sports Statistician,Media,73882.05,3800.0,217.0
890.0,Fantasy Sports Analyst,Media,66699.08,2800.0,279.0
891.0,Hospitality Consultant,Hospitality,80038.89,3500.0,175.0
892.0,Revenue Manager (Hotel),Hospitality,90300.29,4800.0,429.0
893.0,Food & Beverage Director,Hospitality,84143.45,4500.0,562.0
894.0,Banquet Manager,Hospitality,63620.66,5200.0,439.0
895.0,Catering Manager,Hospitality,66699.08,5500.0,477.0
896.0,Spa Director,Hospitality,73882.05,3800.0,325.0
897.0,Golf Course Manager,Hospitality,69777.49,3200.0,499.0
